"Population_id";"Strain_id";"Temperature_C";"Surface_t0";"Surface_t1";"Growth_rate"
"Goes";"Goes_6";20;2,7;34,941;9,144318399
"Goes";"Goes_11";20;6,034;185,423;12,23296272
"Goes";"Goes_13";20;2,082;22,898;8,563287858
"Goes";"Goes_9";20;4,296;16,163;4,732286865
"Goes";"Goes_19";20;4,982;83,217;10,05578656
"Goes";"Goes_29";20;7,466;161,083;10,9698585
"Goes";"Goes_14";20;5,964;158,801;11,72110875
"Goes";"Goes_12";8;2,093;3,769;2,100754539
"Goes";"Goes_12";14;3,291;28,577;7,71932403
"Goes";"Goes_12";18;3,09;23,585;7,258713664
"Goes";"Goes_12";20;4,218;19,01;5,377157409
"Goes";"Goes_12";22;1,884;114,952;14,68256241
"Goes";"Goes_12";24;4,066;114,491;11,92084465
"Goes";"Goes_12";26;2,66;6,478;3,178877493
"Goes";"Goes_12";28;3,883;5,224;0
"Goes";"Goes_5";8;2,611;4,681;2,084923116
"Goes";"Goes_5";14;9,071;91,304;8,246828881
"Goes";"Goes_5";18;3,575;23,062;6,657932376
"Goes";"Goes_5";20;3,853;88,876;11,20853598
"Goes";"Goes_5";22;4,491;100,714;11,1078908
"Goes";"Goes_5";24;9,537;79,904;7,591596227
"Goes";"Goes_5";26;10,899;137,853;9,062560208
"Goes";"Goes_5";28;2,67;5,226;2,398456052
"Goes";"Goes_22";8;2,523;5,195;2,579456982
"Goes";"Goes_22";14;5,011;15,303;3,987190684
"Goes";"Goes_22";18;3,276;73,858;11,1268613
"Goes";"Goes_22";20;4,457;43,718;8,154585795
"Goes";"Goes_22";22;3,392;62,319;10,39588085
"Goes";"Goes_22";24;2,575;153,978;14,61057215
"Goes";"Goes_22";26;3,93;100,409;11,57361578
"Goes";"Goes_22";28;6,611;15,057;2,939671682
"Goes";"Goes_2";8;6,149;9,909;1,704121315
"Goes";"Goes_2";14;4,092;52,26;9,097133614
"Goes";"Goes_2";18;3,917;42,838;8,543212516
"Goes";"Goes_2";20;3,966;153,404;13,05470334
"Goes";"Goes_2";22;4,401;149,337;12,58704896
"Goes";"Goes_2";24;4,654;68,473;9,602544436
"Goes";"Goes_2";26;7,218;6,729;0
"Goes";"Goes_2";28;4,882;10,961;2,888530522
"Goes";"Goes_23";8;3,923;10,974;3,673829184
"Goes";"Goes_23";14;3,191;81,41;11,56844203
"Goes";"Goes_23";18;5,179;48,455;7,985798374
"Goes";"Goes_23";20;7,315;125,286;10,14525746
"Goes";"Goes_23";22;5,468;224,295;13,26446154
"Goes";"Goes_23";24;2,815;118,806;13,36617732
"Goes";"Goes_23";26;3,59;40,719;8,67336647
"Goes";"Goes_23";28;2,633;5,285;0
"Goes";"Goes_17";8;9,251;15,044;1,736598524
"Goes";"Goes_17";18;3,824;25,764;6,813147048
"Goes";"Goes_17";20;3,061;20,421;6,777936154
"Goes";"Goes_17";22;2,717;72,922;11,74950731
"Goes";"Goes_17";24;8,58;210,655;11,43138504
"Goes";"Goes_17";26;5,615;23,001;5,036057518
"Goes";"Goes_17";28;7,77;27,516;4,516062462
"Goes";"Goes_10";8;3,278;5,801;2,038560129
"Goes";"Goes_10";14;7,663;103,946;9,312385648
"Goes";"Goes_10";18;4,886;94,756;10,58903998
"Goes";"Goes_10";20;6,083;218,373;12,78823791
"Goes";"Goes_10";22;6,961;246,363;12,73743899
"Goes";"Goes_10";24;5,619;164,569;12,06134365
"Goes";"Goes_10";26;3,278;29,314;7,824399062
"Goes";"Goes_10";28;6,48;18,843;3,812217792
"Goes";"Goes_26";8;4,183;7,236;1,957285268
"Goes";"Goes_26";18;4,006;53,899;9,283281027
"Goes";"Goes_26";22;3,75;90,624;11,37486871
"Goes";"Goes_26";24;8,482;145,826;10,15881378
"Goes";"Goes_26";26;4,262;58,719;9,367945788
"Goes";"Goes_26";28;9,65;45,697;5,553838339
"Goes";"Goes_31";8;3,083;6,538;2,684743426
"Goes";"Goes_31";14;4,087;52,948;9,148211055
"Goes";"Goes_31";18;4,913;112,835;11,19300651
"Goes";"Goes_31";22;4,445;164,209;12,89057192
"Goes";"Goes_31";24;10,496;210,196;10,70373642
"Goes";"Goes_31";26;3,323;107,968;12,43202463
"Goes";"Goes_31";28;6,315;29,196;5,468228421
"Goes";"Goes_30";8;5,623;10,329;2,171750513
"Goes";"Goes_30";14;3,651;34,536;8,025004127
"Goes";"Goes_30";20;5,157;121,63;11,28795941
"Goes";"Goes_30";24;7,197;111,129;9,775097915
"Goes";"Goes_30";26;3,741;70,602;10,49180542
"Goes";"Goes_30";28;4,877;10,495;2,737030988
"Goes";"Goes_6";8;3,062425486;6,057;2,525953273
"Goes";"Goes_6";14;3,46810316;12,325;4,696377464
"Goes";"Goes_6";18;6,695886393;110,588;10,38636377
"Goes";"Goes_6";22;3,288414407;169,132;14,59360729
"Goes";"Goes_6";26;7,524879901;11,075;1,431390613
"Goes";"Goes_6";28;7,083925907;18,457;3,546723858
"Goes";"Goes_11";8;5,87901912;7,378;0,841158028
"Goes";"Goes_11";14;6,672736308;154,942;11,64822532
"Goes";"Goes_11";18;4,571590529;55,53;9,248378644
"Goes";"Goes_11";22;9,65909723;168,466;10,58827318
"Goes";"Goes_11";24;5,206564279;167,202;12,84919434
"Goes";"Goes_11";26;5,671770743;35,625;6,805726923
"Goes";"Goes_11";28;8,799236942;21,01;3,223457438
"Goes";"Goes_13";8;3,828583049;6,897;2,179969484
"Goes";"Goes_13";14;2,296267922;16,831;7,377545414
"Goes";"Goes_13";18;3,058015946;22,14;7,331924464
"Goes";"Goes_13";22;3,200223609;48,656;10,07983128
"Goes";"Goes_13";24;5,059947077;116,023;11,60160157
"Goes";"Goes_13";26;3,899135688;10,329;3,608150233
"Goes";"Goes_13";28;2,596116637;5,515;0
"Goes";"Goes_21";8;8,24804445;10,158;0,771427542
"Goes";"Goes_21";22;4,956322888;69,617;9,78646177
"Goes";"Goes_21";24;7,866619246;157,676;11,10338481
"Goes";"Goes_21";26;6,957151634;34,616;5,942762446
"Goes";"Goes_21";28;11,24653161;31,156;3,773878013
"Goes";"Goes_9";8;9,062706954;14,083;1,632594593
"Goes";"Goes_9";14;8,324109014;52,328;6,808798503
"Goes";"Goes_9";18;2,976439457;17,979;6,661024582
"Goes";"Goes_9";22;6,164536831;197,617;12,84265855
"Goes";"Goes_9";24;4,80419376;13,312;3,774728324
"Goes";"Goes_9";26;5,427041276;163,361;12,6095125
"Goes";"Goes_9";28;2,468239979;3,492;0
"Goes";"Goes_28";8;7,581101535;18,165;3,236437612
"Goes";"Goes_28";14;4,585921533;55,097;9,207793311
"Goes";"Goes_28";18;4,086541136;122,218;12,585583
"Goes";"Goes_28";24;4,579307224;165,951;13,29683274
"Goes";"Goes_28";26;6,87226799;102,656;10,01440523
"Goes";"Goes_28";28;4,185755784;8,625;0
"Goes";"Goes_19";8;4,858210625;10,217;2,753269681
"Goes";"Goes_19";14;4,521983204;37,117;7,796757133
"Goes";"Goes_19";22;5,972721843;223,1;13,40895318
"Goes";"Goes_19";24;5,088609086;99,028;10,99406707
"Goes";"Goes_19";28;9,015304399;45,309;5,979933579
"Goes";"Goes_29";8;7,330860144;16,618;3,031087373
"Goes";"Goes_29";14;3,80212581;13,784;4,77017839
"Goes";"Goes_29";22;5,816183176;188,874;12,8905033
"Goes";"Goes_29";24;5,101837706;137,32;12,19523392
"Goes";"Goes_29";26;4,82624146;115;11,74394122
"Goes";"Goes_29";28;5,384048262;7,996;1,464818001
"Goes";"Goes_8";8;4,856005855;10,343;2,800347048
"Goes";"Goes_8";14;5,907681129;14,32;3,279273226
"Goes";"Goes_8";18;3,43062207;124,484;13,30161329
"Goes";"Goes_8";22;6,87226799;152,772;11,48686086
"Goes";"Goes_8";26;4,073312516;33,195;7,770158177
"Goes";"Goes_8";28;5,592399024;8,925;0
"Goes";"Goes_14";8;5,912090669;10,366;2,079747036
"Goes";"Goes_14";14;7,173219091;39,451;6,313721759
"Goes";"Goes_14";18;4,515368894;95,734;11,31143194
"Goes";"Goes_14";22;6,413675837;411,101;15,40891247
"Goes";"Goes_14";24;6,231782315;90,021;9,890298514
"Goes";"Goes_14";26;7,619685009;72,485;8,343128194
"Goes";"Goes_14";28;6,866756065;21,339;4,199424364
